Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,SUM_PROCEDURES,tempID,SUM_MEDICATIONS
00185faa-2760-4218-9bf5-db301acf8274,2003-11-18,,999-50-8531,S99964760,,,Eusebio566,Wyman904,,,,white,nonhispanic,M,Beverly  Massachusetts  US,179 Collier Vista,Lynn,Massachusetts,Essex County,01907,42.4866459847945,-70.9358052970014,360851.05,9863.36,37818.43,00185faa-2760-4218-9bf5-db301acf8274,7729.98
0042862c-9889-4a2e-b782-fac1e540ecb4,2009-11-26,,999-20-4613,,,,Dewitt635,Feest103,,,,white,nonhispanic,M,Freetown  Massachusetts  US,348 Tromp Port Apt 48,Boston,Massachusetts,Suffolk County,02109,42.3411200816585,-71.1679258419608,20006.08,1240.76,9700.25,0042862c-9889-4a2e-b782-fac1e540ecb4,26.16
0047123f-12e7-486c-82df-53b3a450e365,1960-01-20,,999-92-5264,S99959789,X2594715X,Mr.,Jordon466,Harber290,,,M,black,nonhispanic,M,Attleboro  Massachusetts  US,1051 Renner Arcade Suite 3,Middleton,Massachusetts,Essex County,,42.6491607837006,-70.9673911224742,185715.36,7108.77,58543.97,0047123f-12e7-486c-82df-53b3a450e365,63.82
010d4a3a-2316-45ed-ae15-16f01c611674,1998-05-31,,999-21-2604,S99974819,X34193837X,Mr.,Patrick786,Hettinger594,,,,white,nonhispanic,M,Salisbury  Massachusetts  US,891 Doyle Flat,Pittsfield,Massachusetts,Berkshire County,01201,42.4791321672633,-73.2335649462321,504727.1,3346.4,1221.01,010d4a3a-2316-45ed-ae15-16f01c611674,11593.56
0149d553-f571-4e99-867e-fcb9625d07c2,1979-06-21,,999-38-3166,S99923887,X84545835X,Mrs.,Sophie40,Kessler503,,Smith67,M,white,hispanic,F,Upton  Massachusetts  US,826 Doyle Row Unit 23,Northborough,Massachusetts,Worcester County,01532,42.2974809452708,-71.6253234563943,911327.42,6713.48,307468.97,0149d553-f571-4e99-867e-fcb9625d07c2,34137.05
01e1f394-7219-4189-bceb-3cbd90cff90b,1967-07-14,,999-21-9208,S99958394,X3420210X,Mrs.,Ardis509,Littel644,,Baumbach677,M,white,nonhispanic,F,Groton  Massachusetts  US,591 Grant Trace,Lynn,Massachusetts,Essex County,,42.5087307000981,-70.9194068432655,1050516.28,17017.45,377046.76,01e1f394-7219-4189-bceb-3cbd90cff90b,32185.75
023a7d29-32b3-4db5-89c8-b88bd7582ec0,1922-02-14,,999-60-9291,S99949872,X45944669X,Mrs.,Conchita9,Peres371,,Pedroza523,M,asian,hispanic,F,Juarez  Chihuahua  MX,365 Gorczany Crossing Apt 64,Cambridge,Massachusetts,Middlesex County,02141,42.4133896394209,-71.1020834234955,1622314.87,32086.31,382369.87,023a7d29-32b3-4db5-89c8-b88bd7582ec0,475400.79
0288abb6-633c-40c3-ba0c-66c7d957727e,1950-11-28,,999-18-7195,S99953954,X15598453X,Mrs.,Keva141,Shanahan202,,Reichel38,M,white,nonhispanic,F,Winchendon  Massachusetts  US,169 Witting Orchard Unit 98,Williamstown,Massachusetts,Berkshire County,,42.7353013466036,-73.1923384461437,242302.62,47905.58,59776.89,0288abb6-633c-40c3-ba0c-66c7d957727e,407866.12
02ea2f1a-ddcf-4809-8279-dde7a62e0318,1991-01-08,,999-59-6497,S99982926,X54241527X,Mr.,Jasper743,Muller251,,,M,white,nonhispanic,M,Weymouth  Massachusetts  US,241 Hauck Mall,Lynn,Massachusetts,Essex County,01906,42.4770994160979,-70.9357373924166,779113.01,2738.96,13425.01,02ea2f1a-ddcf-4809-8279-dde7a62e0318,34.43
02f9aadd-72de-4b20-b381-f4c3b1cf7aa3,1942-05-23,2005-10-12,999-68-3912,S99955910,X24020357X,Mr.,Keenan632,Wolf938,,,M,native,nonhispanic,M,Boston  Massachusetts  US,889 Schaefer Forge,Chatham,Massachusetts,Barnstable County,02633,41.622027896341,-69.9680605084336,201672.51,17259.42,199792.61,02f9aadd-72de-4b20-b381-f4c3b1cf7aa3,120046.56
03172f6e-fb21-4770-8eef-513730174ab7,1961-03-14,1968-01-23,999-53-9443,,,,Kala987,Rutherford999,,,,white,nonhispanic,F,Clinton  Massachusetts  US,343 Kessler Lodge Apt 51,Gardner,Massachusetts,Worcester County,,42.5914283069695,-72.0235332779465,29303.22,344.12,42798.02,03172f6e-fb21-4770-8eef-513730174ab7,28047.47
0325261f-61eb-46f8-acc6-89d15053fecd,1922-02-14,2007-09-03,999-57-7228,S99950625,X38142002X,Ms.,Guillermina633,Menéndez746,,,S,asian,hispanic,F,Lima  Lima Province  PE,570 Nikolaus Wynd,Cambridge,Massachusetts,Middlesex County,02139,42.3786182377223,-71.1388713182714,1426338.69,55551.74,328646.82,0325261f-61eb-46f8-acc6-89d15053fecd,650290.33
034e9e3b-2def-4559-bb2a-7850888ae060,1983-11-14,,999-73-5361,S99962402,X88275464X,Mr.,Milo271,Feil794,,,M,white,nonhispanic,M,Danvers  Massachusetts  US,422 Farrell Path Unit 69,Somerville,Massachusetts,Middlesex County,02143,42.3606973277707,-71.1265309513315,793946.01,3204.49,1137.47,034e9e3b-2def-4559-bb2a-7850888ae060,6.41
03612a7e-6460-4ef6-9528-59d60f970b93,1947-03-12,2014-09-18,999-46-8080,S99926362,X71216846X,Mr.,Cristobal567,Marquardt819,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,1078 Hauck Station,Winchester,Massachusetts,Middlesex County,,42.419162459357,-71.1033625988003,1419279.78,5554.49,26019.99,03612a7e-6460-4ef6-9528-59d60f970b93,22450.89
03c5e223-c016-4477-947f-22c691d6a62c,2002-04-11,,999-71-7929,S99939784,,Ms.,Dung738,Farrell962,,,,white,hispanic,F,Somerville  Massachusetts  US,1008 Frami Spur,Boston,Massachusetts,Suffolk County,02130,42.3692503628648,-70.9498572825968,437620.96,3155.6,30981.12,03c5e223-c016-4477-947f-22c691d6a62c,4272.92
0447625b-b860-483c-9f30-17ed375b1493,1961-03-14,,999-63-3313,S99912129,X84209676X,Mrs.,Marcelle381,Crooks415,,Fahey393,M,white,nonhispanic,F,Spencer  Massachusetts  US,846 White View,Gardner,Massachusetts,Worcester County,,42.5850197453767,-71.9736070544949,704391.1,6057.68,77283.03,0447625b-b860-483c-9f30-17ed375b1493,31218.91
04630e85-e9f5-4a9b-be75-97f2c3346037,1953-03-07,,999-11-6672,S99913597,X72137272X,Mrs.,Lynette631,Walter473,,Waelchi213,M,white,nonhispanic,F,Medford  Massachusetts  US,730 Bogan Row,Danvers,Massachusetts,Essex County,,42.6044017396042,-70.9306665992043,1376389.7,15031.77,120888.73,04630e85-e9f5-4a9b-be75-97f2c3346037,20871.32
04a29a39-c12f-480b-9521-f2d20559089f,1951-10-14,,999-29-9336,S99927384,X56773900X,Mr.,Jerrell6,D'Amore443,,,S,white,nonhispanic,M,Stoughton  Massachusetts  US,480 Miller Ferry,Weymouth,Massachusetts,Norfolk County,02190,42.2025139413253,-71.0016246593631,1500252.21,6128.6,46499.45,04a29a39-c12f-480b-9521-f2d20559089f,150777.21
